Observation Year;Occupational Class;Age class;Number valids;Sum insured;Sum AO percentages with sickness in first 9 months of year t
2010;4;61 tot 65;381;3738907;0
2010;5;15 tm 25;2374;29968995;2021
2010;5;26 tm 30;6409;84742603;9558
2010;5;31 tm 35;13010;156147094;19566
2010;5;36 tm 40;9493;138164079;16198
2010;5;41 tm 45;8011;102097206;11125
2010;5;46 tm 50;4752;64783986;10290
2010;5;51 tm 55;5520;64677388;8621
2010;5;56 tm 60;2121;36342249;3943
2010;5;61 tot 65;296;4649281;229
2010;6;15 tm 25;1108;14793840;766
2010;6;26 tm 30;7671;92303343;3671
2010;6;31 tm 35;14319;134077073;6784
2010;6;36 tm 40;11614;136685119;10324
2010;6;41 tm 45;8663;133549417;16322
2010;6;46 tm 50;10070;139720606;15837
2010;6;51 tm 55;8532;100944048;18523
2010;6;56 tm 60;5853;60707455;12422
2010;6;61 tot 65;1342;12521745;2114
2011;1;15 tm 25;745;8076613;624
2011;1;26 tm 30;3714;60798427;2116
2011;1;31 tm 35;7160;158330034;5847
2011;1;36 tm 40;11715;173810374;6709
2011;1;41 tm 45;9398;190008672;4720
2011;1;46 tm 50;7339;96298286;5488
2011;1;51 tm 55;3345;74647818;4433
2011;1;56 tm 60;1774;37774248;1750
2011;1;61 tot 65;361;6627730;1299
2011;2;15 tm 25;810;6111722;317
2011;2;26 tm 30;3008;34578221;2950
2011;2;31 tm 35;5972;126153938;3185
2011;2;36 tm 40;8332;169484289;5611
2011;2;41 tm 45;6489;160537203;8047
2011;2;46 tm 50;6336;115861910;4062
2011;2;51 tm 55;6032;80136521;4979
2011;2;56 tm 60;1927;34877052;3522
2011;2;61 tot 65;340;5255359;1332
2011;3;15 tm 25;2396;14754913;877
2011;3;26 tm 30;5971;96059853;6676
2011;3;31 tm 35;10566;172944817;15804
2011;3;36 tm 40;10331;240179642;14827
2011;3;41 tm 45;9295;216524790;10317
2011;3;46 tm 50;11137;105413990;12050
2011;3;51 tm 55;8707;177640136;15099
2011;3;56 tm 60;4067;93104745;10087
2011;3;61 tot 65;954;9938381;457
2011;4;15 tm 25;1857;24237282;1185
2011;4;26 tm 30;4798;77619535;5527
2011;4;31 tm 35;8210;89192793;11866
2011;4;36 tm 40;12404;95495531;17530
2011;4;41 tm 45;8830;122894384;7380
2011;4;46 tm 50;5910;92177878;10762
2011;4;51 tm 55;5321;87876731;7398
2011;4;56 tm 60;3242;35297961;6250
2011;4;61 tot 65;392;5515152;1371
2011;5;15 tm 25;3516;26843897;3580
2011;5;26 tm 30;6785;89553809;8128
2011;5;31 tm 35;8119;167776081;20071
2011;5;36 tm 40;10281;174001033;14842
2011;5;41 tm 45;7408;77076972;10081
2011;5;46 tm 50;6780;78726032;10453
2011;5;51 tm 55;5353;85026339;9875
2011;5;56 tm 60;2379;39899403;4335
2011;5;61 tot 65;527;3087200;1140
2011;6;15 tm 25;1022;24345837;948
2011;6;26 tm 30;4744;59197120;3027
2011;6;31 tm 35;11734;139414452;9531
2011;6;36 tm 40;13782;143446287;10481
2011;6;41 tm 45;11845;143350693;12558
2011;6;46 tm 50;12442;165657614;8732
2011;6;51 tm 55;11855;108985800;12167
2011;6;56 tm 60;7227;73337221;12249
2011;6;61 tot 65;1571;10184072;1396
2012;1;15 tm 25;364;3470427;0
2012;1;26 tm 30;2069;30022900;816
2012;1;31 tm 35;4782;75123261;2415
2012;1;36 tm 40;5460;171825505;2875
2012;1;41 tm 45;5715;117399494;3112
2012;1;46 tm 50;4077;130801504;3438
2012;1;51 tm 55;4403;102633035;4686
2012;1;56 tm 60;1370;40434744;3093
2012;1;61 tot 65;260;7820689;245
2012;2;15 tm 25;575;6041491;335
2012;2;26 tm 30;2082;38051629;1193
2012;2;31 tm 35;7309;87383461;3386
2012;2;36 tm 40;6603;115348243;4325
2012;2;41 tm 45;4654;85446311;6956
2012;2;46 tm 50;5407;100017525;7694
2012;2;51 tm 55;4647;79746170;5460
2012;2;56 tm 60;3182;36721356;5898
2012;2;61 tot 65;460;6778437;792
2012;3;15 tm 25;3400;30378156;1231
2012;3;26 tm 30;9122;106821639;5809
2012;3;31 tm 35;18657;256784820;14568
2012;3;36 tm 40;17275;229607760;19493
2012;3;41 tm 45;13834;313730709;19768
2012;3;46 tm 50;12946;207191999;28285
2012;3;51 tm 55;9135;170993181;18401
2012;3;56 tm 60;6064;117796506;17785
2012;3;61 tot 65;1106;15308542;1727
2012;4;15 tm 25;1600;17370331;1069
2012;4;26 tm 30;4931;81046289;3192
2012;4;31 tm 35;7133;161564439;8058
2012;4;36 tm 40;8309;164586758;11620
2012;4;41 tm 45;5972;144943345;13954
2012;4;46 tm 50;5850;83542248;10081
2012;4;51 tm 55;3903;65947384;11529
2012;4;56 tm 60;3189;31637105;4881
2012;4;61 tot 65;460;3826368;254
2012;5;15 tm 25;2076;25818258;1652
2012;5;26 tm 30;6374;61335373;7933
2012;5;31 tm 35;10693;100007989;14696
2012;5;36 tm 40;9139;145483916;16142
2012;5;41 tm 45;8237;124702595;10084
2012;5;46 tm 50;4567;78296983;8656
2012;5;51 tm 55;4699;73208172;9446
2012;5;56 tm 60;2078;31994894;5872
2012;5;61 tot 65;352;3393640;550
2012;6;15 tm 25;1075;9356300;337
2012;6;26 tm 30;3146;56749420;2553
2012;6;31 tm 35;10858;104191782;9323
2012;6;36 tm 40;13488;111232567;9093
2012;6;41 tm 45;12534;180286564;9673
2012;6;46 tm 50;6904;142134336;5397
2012;6;51 tm 55;8455;77768589;7492
2012;6;56 tm 60;3463;60480639;8560
2012;6;61 tot 65;525;8441292;536
2013;1;15 tm 25;315;3859191;0
2013;1;26 tm 30;1788;29472597;1354
2013;1;31 tm 35;4797;149115220;2486
2013;1;36 tm 40;7481;242015857;4251
2013;1;41 tm 45;5973;243351151;5565
2013;1;46 tm 50;4812;214721918;4905
2013;1;51 tm 55;3238;186066896;4491
2013;1;56 tm 60;2498;59933583;2588
2013;1;61 tot 65;319;6370615;596
2013;2;15 tm 25;425;9137393;74
2013;2;26 tm 30;1888;42663045;1002
2013;2;31 tm 35;5708;132771820;4389
2013;2;36 tm 40;6192;148344939;4054
2013;2;41 tm 45;6697;103681292;4760
2013;2;46 tm 50;4607;141230606;8411
2013;2;51 tm 55;4202;123347081;3833
2013;2;56 tm 60;2248;55759061;2449
2013;2;61 tot 65;288;8066123;817
2013;3;15 tm 25;2215;42576156;584
2013;3;26 tm 30;8723;94935156;6359
2013;3;31 tm 35;15792;304587111;12883
2013;3;36 tm 40;13579;318197037;16504
2013;3;41 tm 45;18464;399242952;19052
2013;3;46 tm 50;14798;260611675;23800
2013;3;51 tm 55;12926;182986790;19575
2013;3;56 tm 60;6518;102199156;14168
2013;3;61 tot 65;956;14459543;388
2013;4;15 tm 25;1875;27349384;582
2013;4;26 tm 30;4449;88726639;5380
2013;4;31 tm 35;8161;143389687;9255
2013;4;36 tm 40;12578;209258102;12145
2013;4;41 tm 45;9451;209049274;9525
2013;4;46 tm 50;5286;152953912;13684
2013;4;51 tm 55;3772;95664917;8937
2013;4;56 tm 60;2668;45032552;7568
2013;4;61 tot 65;480;7708500;218
2013;5;15 tm 25;2181;20896375;1819
2013;5;26 tm 30;5720;91771011;6015
2013;5;31 tm 35;10410;116720371;15540
2013;5;36 tm 40;6666;141502856;13340
2013;5;41 tm 45;5452;106898287;11064
2013;5;46 tm 50;4886;72594296;7404
2013;5;51 tm 55;4748;78311901;8573
2013;5;56 tm 60;3420;39899661;5615
2013;5;61 tot 65;511;5407685;747
2013;6;15 tm 25;951;9876850;189
2013;6;26 tm 30;3355;50441367;1343
2013;6;31 tm 35;9724;94883939;8332
2013;6;36 tm 40;11494;199452674;7265
2013;6;41 tm 45;11931;147816176;9851
2013;6;46 tm 50;6318;97643168;8320
2013;6;51 tm 55;4967;88314705;11600
2013;6;56 tm 60;3579;53591762;6422
2013;6;61 tot 65;562;5104623;370
2014;1;15 tm 25;344;7835627;0
2014;1;26 tm 30;1749;52648050;358
2014;1;31 tm 35;5204;104081262;3058
2014;1;36 tm 40;5712;272112276;2691
2014;1;41 tm 45;7917;240999333;4765
2014;1;46 tm 50;7793;271081775;3364
2014;1;51 tm 55;5662;157004405;3980
2014;1;56 tm 60;2306;67941064;2003
2014;1;61 tot 65;330;7749835;333
2014;2;15 tm 25;597;8401485;394
2014;2;26 tm 30;2730;41738149;1272
2014;2;31 tm 35;4673;92984418;3302
2014;2;36 tm 40;5909;193029797;3789
2014;2;41 tm 45;5698;202517941;7713
2014;2;46 tm 50;6769;198380963;6814
2014;2;51 tm 55;5427;117437588;5823
2014;2;56 tm 60;2703;88879204;5762
2014;2;61 tot 65;382;8148718;358
2014;3;15 tm 25;2017;47553313;429
2014;3;26 tm 30;6098;146718937;4611
2014;3;31 tm 35;16522;252204505;11526
2014;3;36 tm 40;16016;430136529;12628
2014;3;41 tm 45;18402;478824487;15700
2014;3;46 tm 50;15726;348597424;28526
2014;3;51 tm 55;10855;303779543;22072
2014;3;56 tm 60;7377;168157592;11995
2014;3;61 tot 65;1297;16339011;657
2014;4;15 tm 25;2234;44792625;2198
2014;4;26 tm 30;5202;118576832;4939
2014;4;31 tm 35;6491;194538673;8349
2014;4;36 tm 40;11696;175864361;9469
2014;4;41 tm 45;11924;193741435;13580
2014;4;46 tm 50;9362;177970266;11793
2014;4;51 tm 55;4739;130928891;8100
2014;4;56 tm 60;3796;75920472;9348
2014;4;61 tot 65;631;8544257;1444
2014;5;15 tm 25;1894;25793706;801
2014;5;26 tm 30;5429;78438164;6869
2014;5;31 tm 35;6746;123880892;12339
2014;5;36 tm 40;10048;175663925;11849
2014;5;41 tm 45;5827;195992515;8833
2014;5;46 tm 50;4586;144048821;9687
2014;5;51 tm 55;4981;112027155;9430
2014;5;56 tm 60;3115;60422595;9376
2014;5;61 tot 65;398;6352015;652
2014;6;15 tm 25;532;5828288;206
2014;6;26 tm 30;2380;48908603;1223
2014;6;31 tm 35;6391;127703746;3939
2014;6;36 tm 40;8707;202288873;5690
2014;6;41 tm 45;10535;219541296;9340
2014;6;46 tm 50;8751;176189189;7695
2014;6;51 tm 55;6457;146501187;5325
2014;6;56 tm 60;4925;68785885;5018
2014;6;61 tot 65;615;9124922;285
2015;1;15 tm 25;407;7822158;380
2015;1;26 tm 30;2061;33655921;59
2015;1;31 tm 35;5742;166078606;2616
2015;1;36 tm 40;6914;266844436;3779
2015;1;41 tm 45;8189;249596308;2548
2015;1;46 tm 50;5370;255279284;4345
2015;1;51 tm 55;6667;171924042;4532
2015;1;56 tm 60;3336;122923253;3301
2015;1;61 tot 65;293;9483782;391
2015;2;15 tm 25;480;14233563;0
2015;2;26 tm 30;1703;34531588;1534
2015;2;31 tm 35;4379;93841376;2404
2015;2;36 tm 40;5642;203899314;5413
2015;2;41 tm 45;7954;233085284;5363
2015;2;46 tm 50;5779;210459392;4371
2015;2;51 tm 55;4520;121769200;6572
2015;2;56 tm 60;2672;95812479;3903
2015;2;61 tot 65;435;7215210;609
2015;3;15 tm 25;3139;40484237;1201
2015;3;26 tm 30;7735;93471504;5063
2015;3;31 tm 35;9113;215700823;8966
2015;3;36 tm 40;20900;394371983;15407
2015;3;41 tm 45;15425;332794340;21662
2015;3;46 tm 50;19700;423789546;23969
2015;3;51 tm 55;11734;312783938;12596
2015;3;56 tm 60;7464;112139630;12667
2015;3;61 tot 65;755;9857987;1501
2015;4;15 tm 25;2278;39153883;2234
2015;4;26 tm 30;5621;135263201;2359
2015;4;31 tm 35;10925;224536224;11738
2015;4;36 tm 40;9070;307949972;12484
2015;4;41 tm 45;10015;226203261;14040
2015;4;46 tm 50;5633;160310575;9900
2015;4;51 tm 55;5471;114250716;6797
2015;4;56 tm 60;4520;70247126;7083
2015;4;61 tot 65;617;8001475;687
2015;5;15 tm 25;1678;46518798;968
2015;5;26 tm 30;3887;125489123;6580
2015;5;31 tm 35;7551;176124008;13824
2015;5;36 tm 40;9728;147875525;10595
2015;5;41 tm 45;9182;164240581;12000
2015;5;46 tm 50;7088;123446953;10067
2015;5;51 tm 55;3857;99408334;7731
2015;5;56 tm 60;2084;55469286;4156
2015;5;61 tot 65;263;3891665;846
2015;6;15 tm 25;217;5529673;405
2015;6;26 tm 30;2064;33944216;1081
2015;6;31 tm 35;5478;104615345;3381
2015;6;36 tm 40;8982;197969146;6220
2015;6;41 tm 45;10453;216534728;6327
2015;6;46 tm 50;5227;162040179;7503
2015;6;51 tm 55;4549;112455695;8810
2015;6;56 tm 60;3715;81669969;4867
2015;6;61 tot 65;463;9229369;730
2016;1;15 tm 25;285;7336215;391
2016;1;26 tm 30;1879;35341813;816
2016;1;31 tm 35;5698;119194405;3385
2016;1;36 tm 40;7092;344750347;4200
2016;1;41 tm 45;10434;229005945;4889
2016;1;46 tm 50;6816;247896382;4812
2016;1;51 tm 55;6658;237220737;3093
2016;1;56 tm 60;3598;125650480;2854
2016;1;61 tot 65;419;11974186;561
2016;2;15 tm 25;521;9212007;197
2016;2;26 tm 30;1956;46328105;2156
2016;2;31 tm 35;5147;113917723;1909
2016;2;36 tm 40;7830;192222631;5014
2016;2;41 tm 45;8143;146828543;5206
2016;2;46 tm 50;6267;126653608;6735
2016;2;51 tm 55;3545;160692303;5567
2016;2;56 tm 60;2850;68859709;4806
2016;2;61 tot 65;538;6934089;364
2016;3;15 tm 25;1649;50037638;1091
2016;3;26 tm 30;5403;121175492;3419
2016;3;31 tm 35;9933;244155544;9566
2016;3;36 tm 40;14762;478326971;19034
2016;3;41 tm 45;18742;511496527;14995
2016;3;46 tm 50;15488;367978781;14233
2016;3;51 tm 55;11878;281545318;13393
2016;3;56 tm 60;8658;151348427;8372
2016;3;61 tot 65;1291;17811314;1482
2016;4;15 tm 25;1962;41800244;957
2016;4;26 tm 30;5424;87565101;3059
2016;4;31 tm 35;8609;233248423;6825
2016;4;36 tm 40;8295;245651612;9500
2016;4;41 tm 45;7749;203054408;18001
2016;4;46 tm 50;8064;191987034;13535
2016;4;51 tm 55;4147;94649918;8782
2016;4;56 tm 60;2622;48655084;7483
2016;4;61 tot 65;464;6562349;1313
2016;5;15 tm 25;1866;55001635;2437
2016;5;26 tm 30;5488;139066819;10509
2016;5;31 tm 35;7254;139148512;12944
2016;5;36 tm 40;8305;224629385;9169
2016;5;41 tm 45;9276;202484301;20019
2016;5;46 tm 50;4817;114627579;13959
2016;5;51 tm 55;5283;82109814;6414
2016;5;56 tm 60;3052;35324568;3688
2016;5;61 tot 65;411;3642884;753
2016;6;15 tm 25;1169;26537104;831
2016;6;26 tm 30;4669;61398230;3115
2016;6;31 tm 35;10528;233465836;4687
2016;6;36 tm 40;12107;360962222;10651
2016;6;41 tm 45;12510;371959016;13379
2016;6;46 tm 50;8869;210939024;12307
2016;6;51 tm 55;6524;209386349;12519
2016;6;56 tm 60;4612;77487943;8315
2016;6;61 tot 65;781;10679768;895
2017;1;15 tm 25;418;8583597;159
2017;1;26 tm 30;2083;50544228;541
2017;1;31 tm 35;3393;131527558;2350
2017;1;36 tm 40;9209;344578726;5762
2017;1;41 tm 45;10123;352136651;5101
2017;1;46 tm 50;8656;219251935;5802
2017;1;51 tm 55;4468;200887849;3884
2017;1;56 tm 60;2604;145296390;3670
2017;1;61 tot 65;499;12644406;1179
2017;2;15 tm 25;528;13551309;236
2017;2;26 tm 30;1515;39845360;1626
2017;2;31 tm 35;3347;122421276;4580
2017;2;36 tm 40;7424;238508743;5575
2017;2;41 tm 45;8370;249959384;3944
2017;2;46 tm 50;5278;185914105;4618
2017;2;51 tm 55;5621;92940480;5326
2017;2;56 tm 60;3057;92725479;4292
2017;2;61 tot 65;355;9147467;177
2017;3;15 tm 25;2323;46089622;1540
2017;3;26 tm 30;3926;137358831;4115
2017;3;31 tm 35;7170;221622651;10623
2017;3;36 tm 40;18944;461123079;16850
2017;3;41 tm 45;13418;510713039;19676
2017;3;46 tm 50;13788;431779304;25168
2017;3;51 tm 55;12970;229049703;18611
2017;3;56 tm 60;7719;167540117;8564
2017;3;61 tot 65;849;14707940;1074
2017;4;15 tm 25;2491;46841279;1499
2017;4;26 tm 30;4578;136844179;4767
2017;4;31 tm 35;8193;203664804;7728
2017;4;36 tm 40;11175;222612163;10432
2017;4;41 tm 45;10609;237290289;14946
2017;4;46 tm 50;9793;175595424;15972
2017;4;51 tm 55;4457;162270149;6568
2017;4;56 tm 60;3461;69927209;8432
2017;4;61 tot 65;538;9018083;683
2017;5;15 tm 25;2146;43950169;2076
2017;5;26 tm 30;5483;78604101;6664
2017;5;31 tm 35;6999;153089234;9379
2017;5;36 tm 40;9791;281313316;15172
2017;5;41 tm 45;10551;220149639;14630
2017;5;46 tm 50;7073;140602988;13002
2017;5;51 tm 55;4817;81887995;8326
2017;5;56 tm 60;2760;64451271;7007
2017;5;61 tot 65;436;5648315;250
2017;6;15 tm 25;1106;25403802;1345
2017;6;26 tm 30;3257;91310732;1308
2017;6;31 tm 35;7046;184152804;4880
2017;6;36 tm 40;16721;364745695;11208
2017;6;41 tm 45;10911;298633922;13596
2017;6;46 tm 50;8382;352909840;15823
2017;6;51 tm 55;5484;217345013;8481
2017;6;56 tm 60;4105;117999092;8916
2017;6;61 tot 65;978;16406955;640
2018;1;15 tm 25;327;7896518;0
2018;1;26 tm 30;1801;52454192;1197
2018;1;31 tm 35;4553;150919557;3083
2018;1;36 tm 40;8367;306182451;5417
2018;1;41 tm 45;9101;355346731;5962
2018;1;46 tm 50;7856;327164414;5333
2018;1;51 tm 55;5877;247477106;3917
2018;1;56 tm 60;3411;139435644;4527
2018;1;61 tot 65;657;24017941;1098
2018;2;15 tm 25;522;12060020;326
2018;2;26 tm 30;1693;42250886;1818
2018;2;31 tm 35;3474;95652664;1583
2018;2;36 tm 40;6190;183811580;6280
2018;2;41 tm 45;6766;209379043;5826
2018;2;46 tm 50;6019;190047924;6182
2018;2;51 tm 55;4537;140282412;7848
2018;2;56 tm 60;2663;77755081;4341
2018;2;61 tot 65;450;10622765;1023
2018;3;15 tm 25;2100;44944717;1053
2018;3;26 tm 30;4928;118963213;3705
2018;3;31 tm 35;8574;227827918;6894
2018;3;36 tm 40;14743;401679886;17939
2018;3;41 tm 45;16835;459635502;21959
2018;3;46 tm 50;14791;395263167;24524
2018;3;51 tm 55;11018;281700303;19409
2018;3;56 tm 60;6597;151198301;10833
2018;3;61 tot 65;1005;19074452;1583
2018;4;15 tm 25;2030;46347375;3235
2018;4;26 tm 30;5041;126314784;5803
2018;4;31 tm 35;7142;186077358;9114
2018;4;36 tm 40;9917;262517808;16197
2018;4;41 tm 45;9883;261542351;16424
2018;4;46 tm 50;8306;211446655;17091
2018;4;51 tm 55;5782;140248854;15133
2018;4;56 tm 60;3355;69960645;6971
2018;4;61 tot 65;538;8565588;1068
2018;5;15 tm 25;1955;43178026;2492
2018;5;26 tm 30;4777;116132323;9841
2018;5;31 tm 35;6751;170036506;13114
2018;5;36 tm 40;9155;230539919;16212
2018;5;41 tm 45;8787;218855709;18758
2018;5;46 tm 50;7105;173661290;15492
2018;5;51 tm 55;4782;109942108;11348
2018;5;56 tm 60;2785;57513642;5030
2018;5;61 tot 65;449;7550159;455
2018;6;15 tm 25;884;20210325;470
